Tree ID,Common Name,Condition Class,Longitude,Latitude,Dbh 1,Dbh 2,Dbh 3,Dbh 4,Dbh 5,Dbh 6,ObservedBTMNests,DistancetoWater,Entry Source,Tree Type (Ornamental | Fruiting / Flowering | Bush),"Priority (1: High, 2: Med, 3: Low)"
642,Oak-Northern Red ,Good ,-69.65206423,44.57371678,16,...,...,...,...,...,20,>250' ,Bartlett Feb 2620,Ornamental,
556,Oak-Northern Red ,Good ,-69.65110417,44.57096406,20,...,...,...,...,...,20,>250' ,Bartlett Feb 2577,Ornamental,
629,Oak-Northern Red ,Good ,-69.65324524,44.57743118,25,...,...,...,...,...,20,>250' ,Bartlett Feb 2607,Ornamental,
404,Oak-Northern Red ,Good ,-69.64313456,44.53455674,21,...,...,...,...,...,20,25-250' ,Bartlett Feb 2425,Ornamental,
255,Oak-White ,Good ,-69.64359005,44.55103734,19,...,...,...,...,...,20,>250' ,Bartlett Feb 2276,Ornamental,
301,Pear-Callery ,Good ,-69.63062361,44.56818771,6,6,6,5,...,...,20,>250' ,Bartlett Feb 2322,Fruiting / Flowering,
199,Pear-Callery ,Fair ,-69.63042373,44.56816628,13,...,...,...,...,...,20,>250' ,Bartlett Feb 2220,Fruiting / Flowering,
200,Pear-Callery ,Fair ,-69.63052176,44.56818053,14,...,...,...,...,...,20,>250' ,Bartlett Feb 2221,Fruiting / Flowering,
196,Pear-Callery ,Poor ,-69.6299331,44.56809238,15,...,...,...,...,...,20,>250' ,Bartlett Feb 2217,Fruiting / Flowering,
547,Oak-Northern Red ,Good ,-69.65216823,44.57445103,12,...,...,...,...,...,18,>250' ,Bartlett Feb 2568,Ornamental,
557,Oak-Northern Red ,Good ,-69.65107462,44.57094074,14,...,...,...,...,...,18,>250' ,Bartlett Feb 2578,Ornamental,
480,Oak-Northern Red ,Good ,-69.65987791,44.52698536,14,...,...,...,...,...,18,25-250' ,Bartlett Feb 2501,Ornamental,
520,Oak-Northern Red ,Fair ,-69.65459088,44.57916694,16,15,12,11,9,...,16,>250' ,Bartlett Feb 2541,Ornamental,
413,Cherry-Black ,Fair ,-69.66215938,44.52860732,9,...,...,...,...,...,15,>250' ,Bartlett Feb 2434,Fruiting / Flowering,
224,Elm-American ,Fair ,-69.62820905,44.55183039,8,7,...,...,...,...,15,>250' ,Bartlett Feb 2245,Ornamental,
195,Elm-American ,Good ,-69.6427722,44.5509343,12,...,...,...,...,...,15,>250' ,Bartlett Feb 2216,Ornamental,
204,Elm-American ,Good ,-69.62762859,44.55329479,3,...,...,...,...,...,15,25-250' ,Bartlett Feb 2225,Ornamental,
202,Elm-American ,Good ,-69.62753091,44.55318014,4,...,...,...,...,...,15,25-250' ,Bartlett Feb 2223,Ornamental,
541,Oak-Northern Red ,Poor ,-69.65227054,44.57530671,10,...,...,...,...,...,15,>250' ,Bartlett Feb 2562,Ornamental,
504,Oak-Northern Red ,Good ,-69.65500414,44.57974918,12,...,...,...,...,...,15,>250' ,Bartlett Feb 2525,Ornamental,
529,Oak-Northern Red ,Good ,-69.65402914,44.57826316,12,...,...,...,...,...,15,>250' ,Bartlett Feb 2550,Ornamental,
277,Oak-Northern Red ,Good ,-69.64377073,44.53456225,13,...,...,...,...,...,15,>250' ,Bartlett Feb 2298,Ornamental,
644,Oak-Northern Red ,Good ,-69.65120883,44.57112587,14,...,...,...,...,...,15,>250' ,Bartlett Feb 2622,Ornamental,
530,Oak-Northern Red ,Good ,-69.65362163,44.57792831,17,...,...,...,...,...,15,>250' ,Bartlett Feb 2551,Ornamental,
612,Oak-Northern Red ,Good ,-69.65497412,44.58014626,18,...,...,...,...,...,15,>250' ,Bartlett Feb 2590,Ornamental,
555,Oak-Northern Red ,Good ,-69.65112297,44.57101406,20,...,...,...,...,...,15,>250' ,Bartlett Feb 2576,Ornamental,
613,Oak-Northern Red ,Good ,-69.6549539,44.5801069,20,...,...,...,...,...,15,>250' ,Bartlett Feb 2591,Ornamental,
639,Oak-Northern Red ,Fair ,-69.65200715,44.57447261,22,...,...,...,...,...,15,>250' ,Bartlett Feb 2617,Ornamental,
551,Oak-Northern Red ,Good ,-69.65209514,44.57396555,24,13,12,12,...,...,15,>250' ,Bartlett Feb 2572,Ornamental,
476,Oak-Northern Red ,Good ,-69.65981635,44.52698401,15,...,...,...,...,...,15,25-250' ,Bartlett Feb 2497,Ornamental,
402,Oak-Northern Red ,Poor ,-69.64311727,44.53453753,16,...,...,...,...,...,15,25-250' ,Bartlett Feb 2423,Ornamental,
397,Oak-Northern Red ,Good ,-69.65951182,44.52693367,20,...,...,...,...,...,15,25-250' ,Bartlett Feb 2418,Ornamental,
399,Oak-Northern Red ,Good ,-69.65967936,44.52694735,25,...,...,...,...,...,15,25-250' ,Bartlett Feb 2420,Ornamental,
198,Pear-Callery ,Poor ,-69.63023696,44.5681316,12,5,...,...,...,...,15,>250' ,Bartlett Feb 2219,Fruiting / Flowering,
532,Oak-Northern Red ,Good ,-69.65303682,44.5772068,15,...,...,...,...,...,14,>250' ,Bartlett Feb 2553,Ornamental,
343,Cherry-Black ,Good ,-69.66273079,44.52888795,6,...,...,...,...,...,13,>250' ,Bartlett Feb 2364,Fruiting / Flowering,
348,Cherry-Black ,Fair ,-69.66239343,44.52878788,11,...,...,...,...,...,12,>250' ,Bartlett Feb 2369,Fruiting / Flowering,
28,Elm-American ,Good ,-69.62758631,44.55079453,9,...,...,...,...,...,12,25-250' ,Bartlett Feb 2049,Ornamental,
331,Elm-American ,Good ,-69.64267103,44.53471302,20,...,...,...,...,...,12,25-250' ,Bartlett Feb 2352,Ornamental,
492,Oak-Northern Red ,Good ,-69.6559364,44.5805621,12,...,...,...,...,...,12,>250' ,Bartlett Feb 2513,Ornamental,
538,Oak-Northern Red ,Fair ,-69.65234994,44.5756568,14,...,...,...,...,...,12,>250' ,Bartlett Feb 2559,Ornamental,
393,Oak-Northern Red ,Good ,-69.65937963,44.52722559,13,...,...,...,...,...,11,>250' ,Bartlett Feb 2414,Ornamental,
320,Oak-Northern Red ,Good ,-69.64236979,44.53506288,20,...,...,...,...,...,11,25-250' ,Bartlett Feb 2341,Ornamental,
448,Cherry-Black ,Poor ,-69.66127637,44.52777909,7,6,...,...,...,...,10,>250' ,Bartlett Feb 2469,Fruiting / Flowering,
445,Cherry-Black ,Fair ,-69.66015207,44.53420321,10,9,...,...,...,...,10,>250' ,Bartlett Feb 2466,Fruiting / Flowering,
351,Cherry-Black ,Poor ,-69.66236943,44.52873184,12,12,...,...,...,...,10,>250' ,Bartlett Feb 2372,Fruiting / Flowering,
350,Cherry-Black ,Poor ,-69.66235045,44.52875797,13,...,...,...,...,...,10,>250' ,Bartlett Feb 2371,Fruiting / Flowering,
299,Cherry-Black ,Fair ,-69.64310509,44.5346416,6,...,...,...,...,...,10,25-250' ,Bartlett Feb 2320,Fruiting / Flowering,
30,Crabapple ,Good ,-69.62748159,44.55081456,5,...,...,...,...,...,10,25-250' ,Bartlett Feb 2051,Fruiting / Flowering,
32,Elm-American ,Good ,-69.62774616,44.55068667,5,...,...,...,...,...,10,25-250' ,Bartlett Feb 2053,Ornamental,
339,Maple-Sugar ,Good ,-69.6629997,44.52905155,10,...,...,...,...,...,10,>250' ,Bartlett Feb 2360,Fruiting / Flowering,
401,Maple-Sugar ,Good ,-69.64319637,44.53456748,19,...,...,...,...,...,10,25-250' ,Bartlett Feb 2422,Fruiting / Flowering,
608,Oak-Northern Red ,Good ,-69.65513893,44.58027553,11,...,...,...,...,...,10,>250' ,Bartlett Feb 2586,Ornamental,
638,Oak-Northern Red ,Fair ,-69.65206818,44.57468374,11,...,...,...,...,...,10,>250' ,Bartlett Feb 2616,Ornamental,
534,Oak-Northern Red ,Good ,-69.65293689,44.57690561,14,...,...,...,...,...,10,>250' ,Bartlett Feb 2555,Ornamental,
606,Oak-Northern Red ,Good ,-69.65516585,44.58030435,14,...,...,...,...,...,10,>250' ,Bartlett Feb 2584,Ornamental,
634,Oak-Northern Red ,Good ,-69.65230512,44.57544751,14,...,...,...,...,...,10,>250' ,Bartlett Feb 2612,Ornamental,
615,Oak-Northern Red ,Good ,-69.65495702,44.58006617,15,...,...,...,...,...,10,>250' ,Bartlett Feb 2593,Ornamental,
395,Oak-Northern Red ,Good ,-69.65942426,44.52694902,16,...,...,...,...,...,10,>250' ,Bartlett Feb 2416,Ornamental,
643,Oak-Northern Red ,Good ,-69.65133159,44.5721718,16,...,...,...,...,...,10,>250' ,Bartlett Feb 2621,Ornamental,
611,Oak-Northern Red ,Good ,-69.65504533,44.58020694,17,...,...,...,...,...,10,>250' ,Bartlett Feb 2589,Ornamental,
603,Oak-Northern Red ,Good ,-69.65520689,44.58040052,19,18,...,...,...,...,10,>250' ,Bartlett Feb 2581,Ornamental,
329,Oak-Northern Red ,Good ,-69.64257227,44.53476168,21,...,...,...,...,...,10,25-250' ,Bartlett Feb 2350,Ornamental,
426,Poplar-Aspen ,Fair ,-69.65900227,44.5341433,8,...,...,...,...,...,10,>250' ,Bartlett Feb 2447,Ornamental,
427,Poplar-Aspen ,Good ,-69.6590225,44.53414999,10,...,...,...,...,...,10,>250' ,Bartlett Feb 2448,Ornamental,
428,Poplar-Aspen ,Fair ,-69.65908337,44.53413742,14,...,...,...,...,...,10,>250' ,Bartlett Feb 2449,Ornamental,
62,Serviceberry ,Good ,-69.62710292,44.5522326,2,...,...,...,...,...,10,<25' ,Bartlett Feb 2083,Bush,
531,Oak-Northern Red ,Good ,-69.65336166,44.57763509,9,...,...,...,...,...,9,>250' ,Bartlett Feb 2552,Ornamental,
544,Oak-Northern Red ,Good ,-69.65241095,44.57498831,10,...,...,...,...,...,9,>250' ,Bartlett Feb 2565,Ornamental,
545,Oak-Northern Red ,Fair ,-69.65236595,44.57493243,12,...,...,...,...,...,9,>250' ,Bartlett Feb 2566,Ornamental,
512,Oak-Northern Red ,Poor ,-69.65478777,44.57963848,14,...,...,...,...,...,9,>250' ,Bartlett Feb 2533,Ornamental,
537,Oak-Northern Red ,Good ,-69.65268259,44.57623676,16,...,...,...,...,...,9,>250' ,Bartlett Feb 2558,Ornamental,
474,Cherry-Black ,Poor ,-69.65973543,44.52693721,14,...,...,...,...,...,8,25-250' ,Bartlett Feb 2495,Fruiting / Flowering,
528,Oak-Northern Red ,Good ,-69.65427843,44.57851488,7,...,...,...,...,...,8,>250' ,Bartlett Feb 2549,Ornamental,
533,Oak-Northern Red ,Fair ,-69.65306835,44.57720163,16,...,...,...,...,...,8,>250' ,Bartlett Feb 2554,Ornamental,
478,Oak-Northern Red ,Good ,-69.65984036,44.52696524,13,...,...,...,...,...,8,25-250' ,Bartlett Feb 2499,Ornamental,
345,Elm-American ,Good ,-69.66260402,44.52888256,6,...,...,...,...,...,7,>250' ,Bartlett Feb 2366,Ornamental,
114,Elm-Chinese ,Fair ,-69.63295252,44.55078112,8,...,...,...,...,...,7,>250' ,Bartlett Feb 2135,Ornamental,
636,Oak-Northern Red ,Good ,-69.65230187,44.57540352,6,...,...,...,...,...,7,>250' ,Bartlett Feb 2614,Ornamental,
526,Oak-Northern Red ,Good ,-69.65439304,44.57881204,11,...,...,...,...,...,7,>250' ,Bartlett Feb 2547,Ornamental,
535,Oak-Northern Red ,Good ,-69.65277791,44.57631,13,8,...,...,...,...,7,>250' ,Bartlett Feb 2556,Ornamental,
524,Oak-Northern Red ,Fair ,-69.65433897,44.57864415,14,...,...,...,...,...,7,>250' ,Bartlett Feb 2545,Ornamental,
641,Oak-Northern Red ,Fair ,-69.65195175,44.57416678,14,...,...,...,...,...,7,>250' ,Bartlett Feb 2619,Ornamental,
640,Oak-Northern Red ,Good ,-69.65199138,44.57436582,23,...,...,...,...,...,7,>250' ,Bartlett Feb 2618,Ornamental,
90,Elm-American ,Good ,-69.62718586,44.55285557,4,...,...,...,...,...,6,<25' ,Bartlett Feb 2111,Ornamental,
540,Oak-Northern Red ,Poor ,-69.65226799,44.57530906,10,...,...,...,...,...,6,>250' ,Bartlett Feb 2561,Ornamental,
543,Oak-Northern Red ,Good ,-69.65225454,44.57537905,10,...,...,...,...,...,6,>250' ,Bartlett Feb 2564,Ornamental,
546,Oak-Northern Red ,Fair ,-69.65229843,44.57468022,10,...,...,...,...,...,6,>250' ,Bartlett Feb 2567,Ornamental,
519,Oak-Northern Red ,Good ,-69.6546466,44.57937535,11,8,...,...,...,...,6,>250' ,Bartlett Feb 2540,Ornamental,
525,Oak-Northern Red ,Fair ,-69.65439971,44.57876519,12,...,...,...,...,...,6,>250' ,Bartlett Feb 2546,Ornamental,
374,Oak-Northern Red ,Good ,-69.66076598,44.53402736,13,...,...,...,...,...,6,>250' ,Bartlett Feb 2395,Ornamental,
552,Oak-Northern Red ,Fair ,-69.65206606,44.57393026,17,...,...,...,...,...,6,>250' ,Bartlett Feb 2573,Ornamental,
326,Oak-Northern Red ,Good ,-69.6425897,44.53476084,19,...,...,...,...,...,6,25-250' ,Bartlett Feb 2347,Ornamental,
489,Poplar-Bigtooth Aspen ,Good ,-69.65621874,44.58058279,14,...,...,...,...,...,6,>250' ,Bartlett Feb 2510,Ornamental,
458,Cherry-Black ,Poor ,-69.66122492,44.52740095,8,...,...,...,...,...,5,>250' ,Bartlett Feb 2479,Fruiting / Flowering,
455,Cherry-Black ,Fair ,-69.66126843,44.52750085,10,...,...,...,...,...,5,>250' ,Bartlett Feb 2476,Fruiting / Flowering,
352,Cherry-Black ,Poor ,-69.66231483,44.52871846,12,11,...,...,...,...,5,>250' ,Bartlett Feb 2373,Fruiting / Flowering,
477,Cherry-Black ,Poor ,-69.65983454,44.52693969,12,...,...,...,...,...,5,25-250' ,Bartlett Feb 2498,Fruiting / Flowering,
311,Elm-American ,Fair ,-69.64232827,44.53535187,15,...,...,...,...,...,5,25-250' ,Bartlett Feb 2332,Ornamental,
206,Maple-Sugar ,Good ,-69.62812148,44.55318007,14,...,...,...,...,...,5,>250' ,Bartlett Feb 2227,Fruiting / Flowering,
207,Maple-Sugar ,Fair ,-69.62813864,44.55320396,14,12,6,6,5,5,5,>250' ,Bartlett Feb 2228,Fruiting / Flowering,
444,Oak-Northern Red ,Good ,-69.66005798,44.53416864,6,...,...,...,...,...,5,>250' ,Bartlett Feb 2465,Ornamental,
631,Oak-Northern Red ,Good ,-69.65265739,44.57618217,8,...,...,...,...,...,5,>250' ,Bartlett Feb 2609,Ornamental,
637,Oak-Northern Red ,Good ,-69.65211925,44.57474833,8,...,...,...,...,...,5,>250' ,Bartlett Feb 2615,Ornamental,
553,Oak-Northern Red ,Good ,-69.65205625,44.57379336,9,...,...,...,...,...,5,>250' ,Bartlett Feb 2574,Ornamental,
610,Oak-Northern Red ,Good ,-69.65504194,44.58023014,9,...,...,...,...,...,5,>250' ,Bartlett Feb 2588,Ornamental,
635,Oak-Northern Red ,Good ,-69.65229882,44.57544782,11,...,...,...,...,...,5,>250' ,Bartlett Feb 2613,Ornamental,
633,Oak-Northern Red ,Good ,-69.65229111,44.5754978,13,...,...,...,...,...,5,>250' ,Bartlett Feb 2611,Ornamental,
607,Oak-Northern Red ,Good ,-69.65506126,44.5802936,17,...,...,...,...,...,5,>250' ,Bartlett Feb 2585,Ornamental,
45,Oak-Northern Red ,Fair ,-69.62771206,44.55104351,3,...,...,...,...,...,5,25-250' ,Bartlett Feb 2066,Ornamental,
423,Poplar-Aspen ,Poor ,-69.65893409,44.53416552,16,...,...,...,...,...,5,>250' ,Bartlett Feb 2444,Ornamental,
74,Serviceberry ,Good ,-69.62718877,44.55265543,1,...,...,...,...,...,5,<25' ,Bartlett Feb 2095,Bush,
64,Serviceberry ,Good ,-69.62713603,44.55225725,2,...,...,...,...,...,5,<25' ,Bartlett Feb 2085,Bush,
75,Serviceberry ,Good ,-69.62716118,44.55267326,2,...,...,...,...,...,5,<25' ,Bartlett Feb 2096,Bush,
349,Cherry-Black ,Fair ,-69.66239035,44.52876396,6,...,...,...,...,...,4,>250' ,Bartlett Feb 2370,Fruiting / Flowering,
341,Cherry-Black ,Good ,-69.66287648,44.52895554,7,...,...,...,...,...,4,>250' ,Bartlett Feb 2362,Fruiting / Flowering,
338,Cherry-Black ,Good ,-69.66311098,44.52912631,10,...,...,...,...,...,4,>250' ,Bartlett Feb 2359,Fruiting / Flowering,
121,Elm-American ,Good ,-69.63349676,44.55082061,3,...,...,...,...,...,4,>250' ,Bartlett Feb 2142,Ornamental,
24,Elm-American ,Good ,-69.62791142,44.55080465,5,...,...,...,...,...,4,25-250' ,Bartlett Feb 2045,Ornamental,
33,Elm-American ,Good ,-69.62770598,44.55062902,5,...,...,...,...,...,4,25-250' ,Bartlett Feb 2054,Ornamental,
25,Elm-American ,Fair ,-69.62783225,44.55077055,6,...,...,...,...,...,4,25-250' ,Bartlett Feb 2046,Ornamental,
278,Maple-Boxelder ,Fair ,-69.64368187,44.53447497,9,...,...,...,...,...,4,25-250' ,Bartlett Feb 2299,Ornamental,
309,Maple-Freeman's ,Good ,-69.63857977,44.53810995,19,...,...,...,...,...,4,>250' ,Bartlett Feb 2330,Ornamental,
225,Maple-Norway ,Good ,-69.62822185,44.55167588,11,...,...,...,...,...,4,>250' ,Bartlett Feb 2246,Ornamental,
521,Oak-Northern Red ,Good ,-69.65453839,44.57912047,9,...,...,...,...,...,4,>250' ,Bartlett Feb 2542,Ornamental,
605,Oak-Northern Red ,Poor ,-69.65517702,44.58034696,9,...,...,...,...,...,4,>250' ,Bartlett Feb 2583,Ornamental,
269,Oak-Northern Red ,Poor ,-69.63114357,44.56742048,10,...,...,...,...,...,4,>250' ,Bartlett Feb 2290,Ornamental,
498,Oak-Northern Red ,Good ,-69.65520196,44.58017348,11,...,...,...,...,...,4,>250' ,Bartlett Feb 2519,Ornamental,
602,Oak-Northern Red ,Good ,-69.65525538,44.58039947,12,...,...,...,...,...,4,>250' ,Bartlett Feb 2580,Ornamental,
554,Oak-Northern Red ,Good ,-69.65146319,44.57196822,14,...,...,...,...,...,4,>250' ,Bartlett Feb 2575,Ornamental,
486,Poplar-Aspen ,Poor ,-69.66025894,44.52700934,9,...,...,...,...,...,4,25-250' ,Bartlett Feb 2507,Ornamental,
483,Poplar-Aspen ,Poor ,-69.66013014,44.52703605,13,...,...,...,...,...,4,25-250' ,Bartlett Feb 2504,Ornamental,
380,Poplar-Bigtooth Aspen ,Good ,-69.66074205,44.53421557,6,...,...,...,...,...,4,>250' ,Bartlett Feb 2401,Ornamental,
303,Birch-Paper ,Good ,-69.63103176,44.56764717,8,...,...,...,...,...,3,>250' ,Bartlett Feb 2324,Ornamental,
461,Cherry-Black ,Fair ,-69.6610809,44.52735703,7,...,...,...,...,...,3,>250' ,Bartlett Feb 2482,Fruiting / Flowering,
342,Crabapple ,Fair ,-69.66285218,44.52892573,8,...,...,...,...,...,3,>250' ,Bartlett Feb 2363,Fruiting / Flowering,
29,Crabapple ,Good ,-69.62753555,44.55082304,5,...,...,...,...,...,3,25-250' ,Bartlett Feb 2050,Fruiting / Flowering,
340,Elm-American ,Good ,-69.66299602,44.52903794,10,...,...,...,...,...,3,>250' ,Bartlett Feb 2361,Ornamental,
318,Maple-Norway ,Fair ,-69.64236807,44.53519495,20,...,...,...,...,...,3,25-250' ,Bartlett Feb 2339,Ornamental,
254,Maple-Red ,Good ,-69.64630032,44.56156175,5,...,...,...,...,...,3,25-250' ,Bartlett Feb 2275,Ornamental,
100,Maple-Sugar ,Good ,-69.62750334,44.55304226,3,...,...,...,...,...,3,25-250' ,Bartlett Feb 2121,Fruiting / Flowering,
604,Oak-Northern Red ,Good ,-69.65523216,44.58035712,8,...,...,...,...,...,3,>250' ,Bartlett Feb 2582,Ornamental,
304,Oak-Northern Red ,Good ,-69.6310976,44.56743681,9,...,...,...,...,...,3,>250' ,Bartlett Feb 2325,Ornamental,
542,Oak-Northern Red ,Good ,-69.65227066,44.5753565,9,...,...,...,...,...,3,>250' ,Bartlett Feb 2563,Ornamental,
549,Oak-Northern Red ,Good ,-69.6521466,44.57431279,12,...,...,...,...,...,3,>250' ,Bartlett Feb 2570,Ornamental,
42,Oak-Northern Red ,Good ,-69.62754872,44.55106704,3,...,...,...,...,...,3,25-250' ,Bartlett Feb 2063,Ornamental,
502,Poplar-Aspen ,Good ,-69.65513832,44.58004836,16,...,...,...,...,...,3,>250' ,Bartlett Feb 2523,Ornamental,
501,Poplar-Aspen ,Good ,-69.65517166,44.58005571,19,...,...,...,...,...,3,>250' ,Bartlett Feb 2522,Ornamental,
485,Poplar-Aspen ,Fair ,-69.66027416,44.52701462,8,...,...,...,...,...,3,25-250' ,Bartlett Feb 2506,Ornamental,
382,Poplar-Bigtooth Aspen ,Poor ,-69.66069974,44.5341746,6,...,...,...,...,...,3,>250' ,Bartlett Feb 2403,Ornamental,
488,Poplar-Bigtooth Aspen ,Good ,-69.65624894,44.58060958,12,...,...,...,...,...,3,>250' ,Bartlett Feb 2509,Ornamental,
6,Ash-Green ,Good ,-69.64632605,44.56190566,13,...,...,...,...,...,2,25-250' ,Bartlett Feb 2027,Ornamental,
510,Ash-White ,Good ,-69.65466363,44.57903512,10,...,...,...,...,...,2,>250' ,Bartlett Feb 2531,Ornamental,
51,Birch-River ,Good ,-69.6271846,44.55128731,3,3,1,1,...,...,2,<25' ,Bartlett Feb 2072,Ornamental,
61,Birch-River ,Good ,-69.62708465,44.55221229,3,1,1,1,1,1,2,<25' ,Bartlett Feb 2082,Ornamental,
68,Birch-River ,Good ,-69.62720395,44.55240169,3,2,1,...,...,...,2,<25' ,Bartlett Feb 2089,Ornamental,
70,Birch-River ,Good ,-69.62720547,44.55246532,3,3,1,...,...,...,2,<25' ,Bartlett Feb 2091,Ornamental,
71,Birch-River ,Good ,-69.6272434,44.55249004,3,2,2,...,...,...,2,<25' ,Bartlett Feb 2092,Ornamental,
